"PLAYERS","DFG","BOT                               ENT                               GVR                               HSM                               JHN                               LGN                               LPT                               MAC                               RFA                               SHF                               SRL                               UFA                               VPP                               ZSK","ANA                               BOS                               BUF                               CAR                               CBJ                               CGY                               CHI                               COL                               DAL                               DET                               EDM                               FLA                               LAK                               MIN                               MTL                               NJD                               NSH                               NYI                               NYR                               OTT                               PHI                               PIT                               SEA                               SJS                               STL                               TBL                               TOR                               UFA                               UTA                               VAN                               VGK                               WPG                               WSH","Age","Cap","GP","Pts","PPG"
"Connor McDavid                                3","F","GVR","EDM","30","$11.4","82","138","1.7"
"Nikita Kucherov                                3","F","UFA","TBL","34","$10.0","76","130","1.7"
"Nathan MacKinnon                                3","F","MAC","COL","32","$8.5","80","127","1.6"
"Macklin Celebrini                                B","F","LPT","SJS","21","$2.5","82","115","1.4"
"Mark Scheifele                                3","F","UFA","WPG","34","$5.7","82","103","1.3"
"Nick Suzuki                                2","F","SHF","MTL","28","$3.0","82","101","1.2"
"David Pastrnak                                3","F","SHF","BOS","31","$6.7","77","100","1.3"
"Martin Necas                                2","F","SRL","COL","28","$2.4","78","100","1.3"
"Leon Draisaitl                                3","F","LGN","EDM","31","$11.4","65","97","1.5"
"Jason Robertson                                2","F","GVR","DAL","28","$5.6","82","96","1.2"
"Evan Bouchard                                2","D","HSM","EDM","27","$5.6","82","95","1.2"
"Kyle Connor                                3","F","LPT","WPG","30","$5.8","82","92","1.1"
"Jack Eichel                                RFA2","F","RFA","VGK","30","$6.6","74","90","1.2"
"Kirill Kaprizov                                RFA2","F","'RFA'","MIN","30","$6.9","78","89","1.1"
"Cole Caufield                                2","F","LGN","MTL","26","$3.0","81","88","1.1"
"Jake Guentzel                                3","F","UFA","TBL","32","$5.9","81","88","1.1"
"Clayton Keller                                3","F","HSM","UTA","29","$3.3","82","88","1.1"
"Wyatt Johnston                                B","F","GVR","DAL","24","$2.0","82","86","1.0"
"Alex DeBrincat                                3","F","UFA","DET","29","$3.2","82","85","1.0"
"Matt Boldy                                2","F","GVR","MIN","26","$3.4","76","85","1.1"
"Artemi Panarin                                3","F","UFA","LAK","35","$7.6","78","84","1.1"
"Andrei Vasilevskiy                                3","G","UFA","TBL","33","$7.4","58","84","1.4"
"Tim Stutzle                                RFA1","F","'RFA'","OTT","25","$2.5","80","83","1.0"
"Jake Oettinger                                2","G","ZSK","DAL","28","$5.6","54","82","1.5"
"Karel Vejmelka                                3","G","UFA","UTA","31","$1.5","64","82","1.3"
"Tage Thompson                                2","F","VPP","BUF","29","$6.0","81","81","1.0"
"Zach Werenski                                3","D","BOT","CBJ","30","$4.6","75","81","1.1"
"Sebastian Aho                                3","F","UFA","CAR","30","$6.0","79","80","1.0"
"Mitch Marner                                3","F","SHF","VGK","30","$6.4","81","80","1.0"
"Cale Makar                                RFA2","D","'RFA'","COL","28","$8.0","75","79","1.1"
"Ilya Sorokin                                3","G","SRL","NYI","32","$3.1","55","79","1.4"
"William Nylander                                3","F","UFA","TOR","31","$5.2","65","79","1.2"
"Lane Hutson                                B","D","ZSK","MTL","23","$1.4","82","78","1.0"
"Mika Zibanejad                                3","F","UFA","NYR","34","$3.0","81","78","1.0"
"Mikko Rantanen                                3","F","MAC","DAL","30","$6.5","64","77","1.2"
"Jack Hughes                                2","F","GVR","NJD","26","$5.6","61","77","1.3"
"Lucas Raymond                                2","F","LGN","DET","25","$4.5","80","76","1.0"
"Quinn Hughes                                2","D","SRL","MIN","27","$5.2","74","76","1.0"
"Connor Bedard                                A","F","LGN","CHI","22","$0.9","69","75","1.1"
"Filip Forsberg                                3","F","UFA","NSH","33","$4.0","82","75","0.9"
"Rasmus Dahlin                                3","D","SHF","BUF","27","$5.6","77","74","1.0"
"Scott Wedgewood                                3","G","UFA","COL","35","$4.5","45","74","1.6"
"Sidney Crosby                                3","F","UFA","PIT","40","$5.2","68","74","1.1"
"Brandon Hagel                                3","F","UFA","TBL","29","$5.7","71","74","1.0"
"Nick Schmaltz                                3","F","UFA","UTA","31","$1.4","82","74","0.9"
"Logan Thompson                                3","G","UFA","WSH","30","$0.8","58","74","1.3"
"Adrian Kempe                                3","F","UFA","LAK","31","$3.4","81","73","0.9"
"Juraj Slafkovsky                                B","F","ZSK","MTL","23","$2.5","82","73","0.9"
"Dylan Guenther                                B","F","LPT","UTA","24","$2.3","79","73","0.9"
"Mark Stone                                3","F","UFA","VGK","35","$2.7","60","73","1.2"
"Mathew Barzal                                3","F","ZSK","NYI","30","$2.3","81","72","0.9"
"Nikolaj Ehlers                                3","F","UFA","CAR","31","$3.0","82","71","0.9"
"Jesper Bratt                                3","F","UFA","NJD","29","$4.2","82","71","0.9"
"Drake Batherson                                3","F","UFA","OTT","29","$1.9","79","71","0.9"
"John Tavares                                3","F","UFA","TOR","36","$3.0","82","71","0.9"
"Andrei Svechnikov                                3","F","SHF","CAR","27","$3.8","79","70","0.9"
"John Gibson                                3","G","MAC","DET","34","$3.0","57","70","1.2"
"Darren Raddysh                                3","D","UFA","TOR","31","$0.9","73","70","1.0"
"Cutter Gauthier                                A","F","LPT","ANA","23","$0.8","76","69","0.9"
"Morgan Geekie                                3","F","UFA","BOS","29","$0.7","81","68","0.8"
