PLAYER,POS,GROUP,STATUS,FCHL TEAM,NHL TEAM,AGE,SALARY,BID,PTS,PRIOR FCHL TEAM
Connor McDavid,F,3,START,GVR,EDM,,11.4,0,145,
Leon Draisaitl,F,RFA2,,RFA,EDM,,0,0,120,
Nikita Kucherov,F,3,,UFA,TBL,,0,0,110,
Matthew Tkachuk,F,3,START,VPP,FLA,,5,0,107,
Jason Robertson,F,3,START,BOT,DAL,,1.7,0,105,
Nathan MacKinnon,F,RFA2,,RFA,COL,,0,0,101,
Mitchell Marner,F,3,START,HSM,VGK,,6.4,0,100,
David Pastrnak,F,RFA2,,RFA,BOS,,0,0,98,
Jack Hughes,F,3,START,HSM,NJD,,2.5,0,97,
Mikko Rantanen,F,3,START,GVR,DAL,,6.4,0,97,
Elias Pettersson,F,3,START,LPT,VAN,,3.1,0,96,
Auston Matthews,F,3,START,HSM,TOR,,6.5,0,94,
Johnny Gaudreau,F,3,,UFA,,,0,0,93,
Kyle Connor,F,3,START,HSM,WPG,,4.5,0,93,
Artemi Panarin,F,3,,UFA,LAK,,0,0,91,
Kirill Kaprizov,F,3,START,SRL,MIN,,6.9,0,91,
Clayton Keller,F,3,START,ZSK,UTA,,2,0,90,
Tage Thompson,F,RFA2,,RFA,BUF,,0,0,90,
Sidney Crosby,F,3,,UFA,PIT,,0,0,88,
Tim Stutzle,F,3,START,GVR,OTT,,0.9,0,88,
Igor Shesterkin,G,3,START,GVR,NYR,,4,0,87,
Brady Tkachuk,F,3,START,VPP,FLA,,3,0,86,
Jake Oettinger,G,3,START,ZSK,DAL,,1.4,0,86,
Mika Zibanejad,F,3,,UFA,NYR,,0,0,86,
J.T. Miller,F,3,START,LPT,NYR,,5,0,85,
Ryan Nugent-Hopkins,F,3,,UFA,EDM,,0,0,85,
Aleksander Barkov,F,3,START,LGN,FLA,,5.4,0,84,
Brayden Point,F,RFA2,,RFA,TBL,,0,0,83,
Connor Hellebuyck,G,3,,UFA,WPG,,0,0,82,
Jonathan Huberdeau,F,3,START,MAC,CGY,,6,0,82,
William Nylander,F,RFA2,,RFA,TOR,,0,0,82,
Alexandar Georgiev,G,3,START,LPT,,,4.7,0,81,
Erik Karlsson,D,3,,UFA,PIT,,0,0,81,
Jordan Kyrou,F,RFA2,,RFA,WSH,,0,0,81,
Steven Stamkos,F,3,,UFA,NSH,,0,0,81,
Ilya Sorokin,G,3,,UFA,NYI,,0,0,80,
Kevin Fiala,F,3,,UFA,LAK,,0,0,80,
Nico Hischier,F,3,START,SHF,NJD,,2.5,0,80,
Vitek Vanecek,G,3,,UFA,NYI,,0,0,79,
Cale Makar,D,3,START,LGN,COL,,8,0,78,
Jesper Bratt,F,3,,UFA,NJD,,0,0,78,
Robert Thomas,F,3,START,ZSK,STL,,3.3,0,78,
Alex DeBrincat,F,3,START,LPT,DET,,3.2,0,77,
Quinn Hughes,D,3,START,LPT,MIN,,5.2,0,77,
Roope Hintz,F,3,,UFA,DAL,,0,0,77,
John Tavares,F,3,,UFA,TOR,,0,0,76,
Pavel Buchnevich,F,RFA2,,RFA,STL,,0,0,76,
Rasmus Dahlin,D,RFA2,,RFA,BUF,,0,0,76,
Sebastian Aho,F,RFA2,,RFA,CAR,,0,0,76,
Adam Fox,D,3,START,JHN,NYR,,5,0,75,
Alex Ovechkin,F,3,,UFA,WSH,,0,0,75,
Andrei Vasilevskiy,G,3,START,SRL,TBL,,8.6,0,75,
Drake Batherson,F,RFA2,,RFA,OTT,,0,0,75,
Martin Necas,F,3,START,BOT,COL,,2.3,0,75,
Cole Caufield,F,RFA2,,RFA,MTL,,0,0,74,
Jack Eichel,F,3,START,LPT,VGK,,6.6,0,74,
Jeff Skinner,F,3,,UFA,SJS,,0,0,74,
Zach Hyman,F,3,START,VPP,EDM,,1.9,0,74,
Dylan Larkin,F,3,START,MAC,DET,,2.4,0,73,
Juuse Saros,G,3,START,ZSK,NSH,,2.4,0,73,
Nick Suzuki,F,RFA2,,RFA,MTL,,0,0,73,
Travis Konecny,F,RFA2,,RFA,PHI,,0,0,73,
Carter Verhaeghe,F,3,,UFA,FLA,,0,0,72,
Elias Lindholm,F,3,,UFA,BOS,,0,0,72,
Evgeni Malkin,F,3,,UFA,PIT,,0,0,72,
Joe Pavelski,F,3,,UFA,,,0,0,72,
Roman Josi,D,3,,UFA,NSH,,0,0,72,
Sam Reinhart,F,3,START,VPP,FLA,,3.6,0,72,
Trevor Zegras,F,3,START,ZSK,PHI,,2,0,72,
Alex Tuch,F,3,START,SRL,WSH,,0.8,0,71,
Brad Marchand,F,3,START,HSM,FLA,,3.6,0,71,
Dylan Cozens,F,3,START,JHN,OTT,,0.5,0,71,
Jonathan Marchessault,F,3,,UFA,NSH,,0,0,71,
Mark Scheifele,F,3,,UFA,WPG,,0,0,71,
Mats Zuccarello,F,3,,UFA,LAK,,0,0,71,
Timo Meier,F,3,START,LPT,NJD,,3.2,0,71,
Troy Terry,F,3,START,SRL,ANA,,1.6,0,71,
Dylan Strome,F,3,START,JHN,WSH,,0.9,0,70,
Ilya Samsonov,G,RFA2,,RFA,,,0,0,70,
Jake Guentzel,F,3,START,JHN,TBL,,5.7,0,70,
Josh Morrissey,D,RFA2,,RFA,WPG,,0,0,70,
Andrei Svechnikov,F,3,START,SHF,CAR,,3.8,0,69,
Anze Kopitar,F,3,,UFA,LAK,,0,0,69,
Jared McCann,F,3,,UFA,SEA,,0,0,69,
Miro Heiskanen,D,3,START,LGN,DAL,,2.8,0,69,
Claude Giroux,F,3,,UFA,OTT,,0,0,68,
Linus Ullmark,G,3,,UFA,OTT,,0,0,68,
Matt Boldy,F,3,START,GVR,MIN,,1.2,0,68,
Nick Schmaltz,F,3,START,SRL,UTA,,1,0,68,
Pierre-Luc Dubois,F,3,START,LGN,WSH,,2.5,0,68,
Tyler Toffoli,F,3,,UFA,SJS,,0,0,68,
Brock Nelson,F,3,,UFA,COL,,0,0,67,
Nazem Kadri,F,3,START,JHN,COL,,3.6,0,67,
Vladimir Tarasenko,F,3,,UFA,MIN,,0,0,66,
Andrei Kuzmenko,F,3,START,LGN,PIT,,0.5,0,65,
Joel Eriksson Ek,F,3,,UFA,MIN,,0,0,65,
Mikhail Sergachev,D,RFA2,,RFA,UTA,,0,0,65,
Patrik Laine,F,3,START,JHN,MTL,,2.3,0,65,
Thatcher Demko,G,RFA2,,RFA,VAN,,0,0,65,
Tyler Bertuzzi,F,3,,UFA,CHI,,0,0,65,
Adrian Kempe,F,3,START,VPP,LAK,,1.3,0,64,
Charlie McAvoy,D,3,START,SHF,BOS,,2.9,0,64,
Evan Bouchard,D,3,START,GVR,EDM,,1.2,0,64,
Filip Forsberg,F,3,,UFA,NSH,,0,0,64,
Filip Gustavsson,G,RFA2,,RFA,MIN,,0,0,64,
Mathew Barzal,F,3,START,VPP,NYI,,4.9,0,64,
Tomas Hertl,F,3,,UFA,VGK,,0,0,64,
Brandon Montour,D,3,,UFA,SEA,,0,0,63,
Brayden Schenn,F,3,,UFA,NYI,,0,0,63,
Chandler Stephenson,F,3,,UFA,SEA,,0,0,63,
Ivan Barbashev,F,3,,UFA,VGK,,0,0,63,
Dawson Mercer,F,A,MINOR,SRL,NJD,,0.5,0,62,
Dougie Hamilton,D,3,,UFA,NJD,,0,0,62,
Jamie Benn,F,3,,UFA,DAL,,0,0,62,
Lucas Raymond,F,3,START,SRL,DET,,1.6,0,62,
Matty Beniers,F,A,MINOR,LGN,SEA,,0.9,0,62,
Nikolaj Ehlers,F,3,,UFA,CAR,,0,0,62,
Tommy Novak,F,3,,UFA,PIT,,0,0,62,
Matt Duchene,F,3,,UFA,DAL,,0,0,61,
Victor Hedman,D,3,START,SRL,TBL,,6.1,0,61,
Viktor Arvidsson,F,3,,UFA,DET,,0,0,61,
Brandon Hagel,F,3,,UFA,TBL,,0,0,60,
Chris Kreider,F,3,,UFA,ANA,,0,0,60,
Logan Cooley,F,A,MINOR,SRL,UTA,,0.9,0,60,
Logan Couture,F,3,,UFA,SJS,,0,0,60,
Tristan Jarry,G,RFA2,,RFA,EDM,,0,0,60,
Bo Horvat,F,RFA2,,RFA,NYI,,0,0,59,
Casey Mittelstadt,F,3,START,VPP,BOS,,1.8,0,59,
Stuart Skinner,G,3,START,GVR,WPG,,1.2,0,59,
Valeri Nichushkin,F,3,START,VPP,CBJ,,1.8,0,59,
John Carlson,D,3,,UFA,TBL,,0,0,58,
Rickard Rakell,F,3,,UFA,PIT,,0,0,58,
Vincent Trocheck,F,3,,UFA,UTA,,0,0,58,
Pavel Zacha,F,3,,UFA,BOS,,0,0,57,
Ryan Hartman,F,3,,UFA,MIN,,0,0,57,
Ville Husso,G,3,,UFA,ANA,,0,0,57,
Vince Dunn,D,3,,UFA,SEA,,0,0,57,
Andre Burakovsky,F,3,START,LGN,OTT,,1,0,56,
Brock Boeser,F,3,START,BOT,VAN,,1.4,0,56,
Jake Debrusk,F,3,,UFA,VAN,,0,0,56,
Michael Bunting,F,3,,UFA,NSH,,0,0,56,
Philipp Grubauer,G,3,,UFA,SEA,,0,0,56,
Alex Killorn,F,3,,UFA,ANA,,0,0,55,
Andrew Mangiapane,F,3,,UFA,CHI,,0,0,55,
Blake Wheeler,F,3,,UFA,,,0,0,55,
Brent Burns,D,3,,UFA,COL,,0,0,55,
Bryan Rust,F,3,,UFA,PIT,,0,0,55,
David Perron,F,3,,UFA,OTT,,0,0,55,
Devon Toews,D,3,,UFA,COL,,0,0,55,
Jeremy Swayman,G,3,,UFA,BOS,,0,0,55,
Jordan Eberle,F,3,,UFA,SEA,,0,0,55,
Noah Dobson,D,3,START,GVR,MTL,,1.2,0,55,
Reilly Smith,F,3,,UFA,VGK,,0,0,55,
Sean Couturier,F,3,,UFA,PHI,,0,0,55,
Sergei Bobrovsky,G,3,,UFA,TOR,,0,0,55,
Barrett Hayton,F,A,MINOR,BOT,UTA,,0.6,0,54,
Logan Thompson,G,3,,UFA,WSH,,0,0,54,
Owen Tippett,F,3,START,SRL,PHI,,0.6,0,54,
Seth Jarvis,F,3,START,GVR,CAR,,0.6,0,54,
Evander Kane,F,3,,UFA,VAN,,0,0,53,
Evgeny Kuznetsov,F,3,,UFA,,,0,0,53,
Morgan Frost,F,A,MINOR,ZSK,CGY,,0.6,0,53,
Rasmus Andersson,D,3,,UFA,VGK,,0,0,53,
Shea Theodore,D,RFA2,,RFA,VGK,,0,0,53,
Taylor Raddysh,F,3,,UFA,NYR,,0,0,53,
Artturi Lehkonen,F,3,START,GVR,COL,,0.5,0,52,
Darcy Kuemper,G,3,,UFA,LAK,,0,0,52,
Frederik Andersen,G,3,START,SHF,EDM,,3,0,52,
Josh Norris,F,3,START,LPT,BUF,,1.2,0,52,
Kaapo Kakko,F,A,MINOR,GVR,SEA,,0.9,0,52,
Kris Letang,D,3,,UFA,PIT,,0,0,52,
Lukas Reichel,F,A,MINOR,BOT,BOS,,0.5,0,52,
Seth Jones,D,3,,UFA,FLA,,0,0,52,
Taylor Hall,F,3,,UFA,CAR,,0,0,52,
Connor Brown,F,3,,UFA,NJD,,0,0,51,
Filip Hronek,D,3,,UFA,VAN,,0,0,51,
Jakub Vrana,F,3,START,BOT,,,1.5,0,51,
John Klingberg,D,3,,UFA,SJS,,0,0,51,
Matias Maccelli,F,3,START,ZSK,NYI,,0.5,0,51,
Moritz Seider,D,3,START,HSM,DET,,0.7,0,51,
Oliver Bjorkstrand,F,3,,UFA,NYR,,0,0,51,
