PLAYER,POS,GROUP,STATUS,FCHL TEAM,NHL TEAM,AGE,SALARY,BID,PTS,PRIOR FCHL TEAM
Nikita Kucherov,F,3,,UFA,TBL,32,0,0,119,
Connor Hellebuyck,G,3,,UFA,WPG,32,0,0,99,
Nathan MacKinnon,F,3,START,MAC,COL,30,8.5,0,112,
David Pastrnak,F,3,START,SHF,BOS,29,6.7,0,102,
Leon Draisaitl,F,3,START,LPT,EDM,29,11.4,0,110,
Mitch Marner,F,3,START,SHF,VGK,28,6.4,0,94,
Connor McDavid,F,3,START,GVR,EDM,28,11.4,0,126,
Kyle Connor,F,RFA2,,RFA,WPG,28,0,0,82,
Andrei Vasilevskiy,G,3,,UFA,TBL,31,0,0,85,
Jack Eichel,F,2,START,SRL,VGK,28,6.6,0,86,
Cale Makar,D,2,START,LGN,COL,26,8.0,0,86,
Sidney Crosby,F,3,,UFA,PIT,38,0,0,84,
Brandon Hagel,F,3,,UFA,TBL,27,0,0,81,
Clayton Keller,F,RFA2,,RFA,UTA,27,0,0,86,
Nick Suzuki,F,2,START,SHF,MTL,26,3.0,0,81,
Artemi Panarin,F,3,,UFA,NYR,33,0,0,94,
Mikko Rantanen,F,RFA2,,RFA,DAL,28,0,0,88,
Jesper Bratt,F,3,START,SHF,NJD,27,4.2,0,83,
Mark Scheifele,F,3,,UFA,WPG,32,0,0,76,
William Nylander,F,3,START,SRL,TOR,29,5.2,0,87,
Martin Necas,F,2,START,SRL,COL,26,2.4,0,77,
Zach Werenski,D,3,,UFA,CBJ,28,0,0,70,
Matt Duchene,F,3,,UFA,DAL,34,0,0,65,
Brayden Point,F,3,START,SRL,TBL,29,6.8,0,79,
Miro Heiskanen,D,3,START,BOT,DAL,26,5.8,0,53,
Sergei Bobrovsky,G,3,,UFA,FLA,36,0,0,76,
Sam Reinhart,F,3,,UFA,FLA,29,0,0,79,
Robert Thomas,F,2,START,LGN,STL,26,3.3,0,84,
Jason Robertson,F,2,START,GVR,DAL,26,5.6,0,86,
Lucas Raymond,F,2,START,LGN,DET,23,4.5,0,77,
Jake Guentzel,F,3,,UFA,TBL,30,0,0,76,
Thomas Chabot,D,2,START,BOT,OTT,28,3.2,0,42,
Jake Oettinger,G,2,START,ZSK,DAL,26,5.6,0,82,
Auston Matthews,F,RFA2,,RFA,TOR,27,0,0,89,
Darcy Kuemper,G,3,,UFA,LAK,35,0,0,70,
Filip Gustavsson,G,2,START,BOT,MIN,27,3.2,0,71,
Filip Forsberg,F,3,,UFA,NSH,31,0,0,75,
Travis Konecny,F,3,,UFA,PHI,28,0,0,76,
Quinn Hughes,D,2,START,SRL,VAN,25,5.2,0,83,
Adin Hill,G,3,START,SRL,VGK,29,1.0,0,68,
Sebastian Aho (F),F,3,,UFA,CAR,28,0,0,80,
Kirill Marchenko,F,RFA1,,RFA,CBJ,25,0,0,65,
Sam Montembeault,G,3,START,LPT,MTL,28,0.5,0,63,
John Tavares,F,3,,UFA,TOR,34,0,0,67,
Adrian Kempe,F,3,,UFA,LAK,29,0,0,71,
Matt Boldy,F,RFA1,,RFA,MIN,24,0,0,74,
Alex Ovechkin,F,3,,UFA,WSH,39,0,0,65,
Tage Thompson,F,2,START,VPP,BUF,27,6.0,0,72,
Ilya Sorokin,G,3,START,JHN,NYI,30,3.1,0,70,
Igor Shesterkin,G,3,START,JHN,NYR,29,5.6,0,82,
Wyatt Johnston,F,A,START,GVR,DAL,22,0.7,0,72,
Aleksander Barkov,F,3,START,SRL,FLA,30,5.5,0,73,
Alex DeBrincat,F,RFA2,,RFA,DET,27,0,0,67,
Dylan Larkin,F,RFA2,,RFA,DET,29,0,0,72,
Cole Caufield,F,2,START,LGN,MTL,24,3.0,0,67,
Jack Hughes,F,RFA1,,RFA,NJD,24,0,0,87,
J.T. Miller,F,3,,UFA,NYR,32,0,0,76,
Rickard Rakell,F,3,,UFA,PIT,32,0,0,56,
Jordan Kyrou,F,2,START,HSM,STL,27,4.0,0,70,
Nico Hischier,F,2,START,ZSK,NJD,26,3.2,0,72,
Rasmus Dahlin,D,3,START,SHF,BUF,25,5.6,0,66,
Mackenzie Blackwood,G,3,START,LPT,COL,28,3.6,0,67,
Drake Batherson,F,RFA2,,RFA,OTT,27,0,0,70,
JJ Peterka,F,B,START,SRL,UTA,23,1.4,0,63,
Logan Thompson,G,3,START,MAC,WSH,28,0.8,0,66,
Alex Tuch,F,3,START,LPT,BUF,29,2.0,0,64,
Nazem Kadri,F,3,START,LGN,CGY,34,2.5,0,68,
Dustin Wolf,G,C,START,LPT,CGY,24,1.2,0,65,
Seth Jarvis,F,RFA1,,RFA,CAR,23,0,0,71,
Connor Bedard,F,A,START,LGN,CHI,20,0.9,0,75,
Roope Hintz,F,3,,UFA,DAL,28,0,0,63,
Evan Bouchard,D,RFA1,,RFA,EDM,25,0,0,75,
Anze Kopitar,F,3,,UFA,LAK,38,0,0,63,
Mark Stone,F,3,,UFA,VGK,33,0,0,59,
Mikael Granlund,F,3,,UFA,ANA,33,0,0,54,
Lane Hutson,D,A,START,ZSK,MTL,21,0.5,0,67,
Victor Hedman,D,3,,UFA,TBL,34,0,0,65,
Pierre-Luc Dubois,F,3,,UFA,WSH,27,0,0,58,
Aliaksei Protas,F,3,,UFA,WSH,24,0,0,52,
Bryan Rust,F,3,,UFA,PIT,33,0,0,60,
Jordan Binnington,G,3,START,GVR,STL,32,0.5,0,65,
Logan Cooley,F,B,START,LGN,UTA,21,2.5,0,66,
Tom Wilson,F,3,,UFA,WSH,31,0,0,53,
Jacob Markstrom,G,3,,UFA,NJD,35,0,0,62,
