PLAYER,POS,GROUP,STATUS,FCHL TEAM,NHL TEAM,AGE,SALARY,BID,PTS,PRIOR FCHL TEAM
Connor McDavid,F,3,START,GVR,EDM,30,11.4,0,131,
Nikita Kucherov,F,3,,UFA,TBL,34,10.0,0,128,
Nathan MacKinnon,F,3,START,MAC,COL,32,8.5,0,126,
Macklin Celebrini,F,B,MINOR,LPT,SJS,21,2.5,0,112,
Mark Scheifele,F,3,,UFA,WPG,34,5.7,0,93,
Nick Suzuki,F,2,START,SHF,MTL,28,3.0,0,96,
David Pastrnak,F,3,START,SHF,BOS,31,6.7,0,105,
Martin Necas,F,2,START,SRL,COL,28,2.4,0,108,
Leon Draisaitl,F,3,START,LGN,EDM,31,11.4,0,106,
Jason Robertson,F,2,START,GVR,DAL,28,5.6,0,109,
Evan Bouchard,D,2,START,HSM,EDM,27,5.6,0,89,
Kyle Connor,F,3,START,LPT,WPG,30,5.8,0,96,
Jack Eichel,F,RFA2,,RFA,VGK,30,6.6,0,92,SRL
Kirill Kaprizov,F,RFA2,,RFA,MIN,30,6.9,0,96,LPT
Cole Caufield,F,2,START,LGN,MTL,26,3.0,0,90,
Jake Guentzel,F,3,,UFA,TBL,32,5.9,0,87,
Clayton Keller,F,3,START,HSM,UTA,29,3.3,0,89,
Wyatt Johnston,F,B,MINOR,GVR,DAL,24,2.0,0,88,
Alex DeBrincat,F,3,,UFA,DET,29,3.2,0,90,
Matt Boldy,F,2,START,GVR,MIN,26,3.4,0,89,
Artemi Panarin,F,3,,UFA,LAK,35,7.6,0,94,
Andrei Vasilevskiy,G,3,,UFA,TBL,33,7.4,0,84,
Tim Stutzle,F,RFA1,,RFA,OTT,25,2.5,0,87,BOT
Jake Oettinger,G,2,START,ZSK,DAL,28,5.6,0,77,
Karel Vejmelka,G,3,,UFA,UTA,31,1.5,0,80,
Tage Thompson,F,2,START,VPP,BUF,29,6.0,0,80,
Zach Werenski,D,3,START,BOT,CBJ,30,4.6,0,82,
Sebastian Aho,F,3,,UFA,CAR,30,6.0,0,82,
Mitch Marner,F,3,START,SHF,VGK,30,6.4,0,99,
Cale Makar,D,RFA2,,RFA,COL,28,8.0,0,86,LGN
Ilya Sorokin,G,3,START,SRL,NYI,32,3.1,0,82,
William Nylander,F,3,,UFA,TOR,31,5.2,0,91,
Lane Hutson,D,B,MINOR,ZSK,MTL,23,1.4,0,79,
Mika Zibanejad,F,3,,UFA,NYR,34,3.0,0,74,
Mikko Rantanen,F,3,START,MAC,DAL,30,6.5,0,86,
Jack Hughes,F,2,START,GVR,NJD,26,5.6,0,87,
Lucas Raymond,F,2,START,LGN,DET,25,4.5,0,78,
Quinn Hughes,D,2,START,SRL,MIN,27,5.2,0,87,
Connor Bedard,F,A,MINOR,LGN,CHI,22,0.9,0,85,
Filip Forsberg,F,3,,UFA,NSH,33,4.0,0,78,
Rasmus Dahlin,D,3,START,SHF,BUF,27,5.6,0,75,
Scott Wedgewood,G,3,,UFA,COL,35,4.5,0,57,
Sidney Crosby,F,3,,UFA,PIT,40,5.2,0,81,
Brandon Hagel,F,3,,UFA,TBL,29,5.7,0,85,
Nick Schmaltz,F,3,,UFA,UTA,31,1.4,0,71,
Logan Thompson,G,3,,UFA,WSH,30,0.8,0,75,
Adrian Kempe,F,3,,UFA,LAK,31,3.4,0,76,
Juraj Slafkovsky,F,B,MINOR,ZSK,MTL,23,2.5,0,80,
Dylan Guenther,F,B,MINOR,LPT,UTA,24,2.3,0,82,
Mark Stone,F,3,,UFA,VGK,35,2.7,0,60,
Mathew Barzal,F,3,START,ZSK,NYI,30,2.3,0,69,
Nikolaj Ehlers,F,3,,UFA,CAR,31,3.0,0,72,
Jesper Bratt,F,3,,UFA,NJD,29,4.2,0,80,
Drake Batherson,F,3,,UFA,OTT,29,1.9,0,78,
John Tavares,F,3,,UFA,TOR,36,3.0,0,69,
Andrei Svechnikov,F,3,START,SHF,CAR,27,3.8,0,70,
John Gibson,G,3,START,MAC,DET,34,3.0,0,65,
Darren Raddysh,D,3,,UFA,TOR,31,0.9,0,61,
Cutter Gauthier,F,A,MINOR,LPT,ANA,23,0.8,0,74,
Morgan Geekie,F,3,,UFA,BOS,29,0.7,0,69,
Jeremy Swayman,G,3,START,VPP,BOS,28,1.4,0,66,
Brandon Bussi,G,3,START,SHF,CAR,29,3.0,0,74,
Filip Gustavsson,G,RFA2,,RFA,MIN,29,3.2,0,47,LPT
Travis Konecny,F,3,,UFA,PHI,30,3.4,0,70,
Gabriel Vilardi,F,RFA2,,RFA,WPG,28,0.9,0,72,ZSK
Leo Carlsson,F,A,MINOR,LGN,ANA,22,0.9,0,74,
Kirill Marchenko,F,2,START,LGN,CBJ,27,2.7,0,76,
Dylan Larkin,F,3,START,BOT,DET,31,2.7,0,72,
Trevor Zegras,F,3,START,VPP,PHI,26,0.7,0,64,
Seth Jarvis,F,2,START,ZSK,CAR,25,3.2,0,47,
Steven Stamkos,F,3,,UFA,NSH,37,1.7,0,64,
Nico Hischier,F,2,START,JHN,NJD,28,3.2,0,69,
Erik Karlsson,D,3,,UFA,PIT,37,3.1,0,57,
Joel Hofer,G,RFA1,,RFA,STL,27,0.5,0,63,BOT
Matthew Knies,F,C,MINOR,JHN,TOR,24,1.4,0,69,
Sergei Bobrovsky,G,3,,UFA,TOR,38,6.5,0,75,
Alex Tuch,F,3,,UFA,WSH,31,2.0,0,55,
Pavel Zacha,F,3,,UFA,BOS,30,1.3,0,62,
Brock Nelson,F,3,,UFA,COL,35,1.4,0,56,
Linus Ullmark,G,3,,UFA,OTT,34,3.5,0,71,
Bryan Rust,F,3,,UFA,PIT,35,1.2,0,64,
Anthony Mantha,F,3,START,BOT,NJD,32,0.7,0,52,
Pavel Dorofeyev,F,3,,UFA,NYR,26,0.5,0,64,
Robert Thomas,F,2,START,LGN,STL,28,3.3,0,80,
Alex Ovechkin,F,3,,UFA,WSH,41,2.3,0,55,
Miro Heiskanen,D,3,,UFA,DAL,28,5.8,0,60,
Ivan Demidov,F,A,MINOR,JHN,MTL,21,0.9,0,75,
Tom Wilson,F,3,START,MAC,WSH,33,1.0,0,59,
Charlie McAvoy,D,3,,UFA,BOS,29,1.8,0,54,
Sam Reinhart,F,3,START,JHN,FLA,31,6.4,0,78,
Evgeni Malkin,F,3,,UFA,PIT,41,0.8,0,56,
Ivan Barbashev,F,3,,UFA,VGK,31,1.1,0,56,
Beckett Sennecke,F,A,MINOR,JHN,ANA,21,0.6,0,70,
Lukas Dostal,G,2,START,ZSK,ANA,27,0.9,0,61,
Moritz Seider,D,RFA1,,RFA,DET,26,1.2,0,54,HSM
John Carlson,D,3,,UFA,TBL,37,3.0,0,68,
Jakob Chychrun,D,3,,UFA,WSH,29,2.5,0,56,
Adam Fantilli,F,A,MINOR,GVR,CBJ,22,0.9,0,79,
Brady Tkachuk,F,2,START,VPP,FLA,27,3.0,0,73,
Matthew Schaefer,D,A,MINOR,LGN,NYI,20,0.9,0,62,
Dylan Cozens,F,RFA1,,RFA,OTT,26,0.6,0,61,JHN
Will Smith,F,B,MINOR,VPP,SJS,22,1.8,0,69,
Mikhail Sergachev,D,3,,UFA,UTA,29,3.0,0,60,
Jackson LaCombe,D,3,,UFA,ANA,26,1.4,0,58,
Tyler Bertuzzi,F,3,,UFA,CHI,32,0.7,0,55,
Charlie Coyle,F,3,START,BOT,CBJ,35,0.7,0,46,
Jet Greaves,G,3,START,SHF,CBJ,26,0.5,0,56,
Sam Bennett,F,3,,UFA,FLA,31,1.3,0,56,
Jakub Dobes,G,3,START,LGN,MTL,26,0.6,0,74,
Dan Vladar,G,3,,UFA,PHI,30,0.5,0,61,
Tomas Hertl,F,3,,UFA,VGK,33,2.0,0,55,
Dylan Strome,F,RFA2,,RFA,WSH,30,0.9,0,71,JHN
Troy Terry,F,3,,UFA,ANA,30,1.6,0,36,
Patrick Kane,F,3,,UFA,CHI,38,0.9,0,54,
Bo Horvat,F,3,,UFA,NYI,32,1.5,0,62,
Alexis Lafreniere,F,C,MINOR,GVR,NYR,25,2.0,0,72,
Ryan Nugent-Hopkins,F,3,,UFA,EDM,34,1.9,0,56,
Luke Evangelista,F,3,START,LGN,NJD,25,0.7,0,61,
Juuse Saros,G,3,START,LGN,NSH,32,2.2,0,60,
Mackenzie Blackwood,G,3,START,LPT,COL,30,3.6,0,62,
Carter Verhaeghe,F,3,,UFA,FLA,32,3.7,0,59,
Roman Josi,D,3,,UFA,NSH,37,5.4,0,52,
Jordan Eberle,F,3,,UFA,SEA,37,0.8,0,50,
Josh Morrissey,D,3,,UFA,WPG,32,4.8,0,60,
Ryan McLeod,F,3,,UFA,BUF,27,1.5,0,46,
Viktor Arvidsson,F,3,,UFA,DET,34,0.5,0,49,
Brad Marchand,F,3,,UFA,FLA,39,1.2,0,58,
Mats Zuccarello,F,3,,UFA,LAK,40,1.2,0,57,
Jake Sanderson,D,RFA1,,RFA,OTT,25,1.4,0,61,SRL
Jackson Blake,F,3,,UFA,CAR,24,2.0,0,54,
J.T. Miller,F,3,,UFA,NYR,34,4.9,0,70,
Adam Fox,D,2,START,LGN,NYR,29,5.0,0,67,
Igor Shesterkin,G,3,START,JHN,NYR,31,5.6,0,66,
William Eklund,F,B,MINOR,LGN,OTT,24,1.5,0,57,
Auston Matthews,F,3,START,HSM,TOR,29,6.6,0,82,
Vincent Trocheck,F,3,,UFA,UTA,34,2.2,0,58,
Josh Doan,F,3,,UFA,BUF,25,1.1,0,59,
Dustin Wolf,G,RFA1,,RFA,CGY,26,1.2,0,54,BOT
Zach Hyman,F,3,,UFA,EDM,35,2.0,0,59,
Anthony Cirelli,F,3,,UFA,TBL,30,0.9,0,50,
Aliaksei Protas,F,3,START,HSM,WSH,26,1.0,0,59,
Stuart Skinner,G,3,,UFA,WPG,28,5.6,0,27,
Jack Quinn,F,C,MINOR,VPP,BUF,25,1.0,0,58,
Joel Eriksson Ek,F,3,,UFA,MIN,30,1.5,0,45,
Brock Faber,D,RFA1,,RFA,MIN,25,1.2,0,49,LPT
Christian Dvorak,F,3,,UFA,PHI,31,0.9,0,50,
Matvei Michkov,F,A,MINOR,JHN,PHI,22,0.8,0,68,
Owen Tippett,F,2,START,JHN,PHI,28,0.9,0,50,
Dylan Holloway,F,C,MINOR,BOT,STL,25,1.6,0,67,
Jimmy Snuggerud,F,A,MINOR,LGN,STL,23,0.6,0,57,
Elias Pettersson,F,3,,UFA,VAN,28,3.1,0,69,
Chris Kreider,F,3,,UFA,ANA,36,2.4,0,42,
Shayne Gostisbehere,D,3,,UFA,CAR,34,2.0,0,53,
Nazem Kadri,F,3,,UFA,COL,36,2.5,0,59,
Matty Beniers,F,B,MINOR,LGN,SEA,24,1.5,0,58,
Brayden Point,F,3,,UFA,TBL,31,6.8,0,79,
Alex Lyon,G,3,START,SRL,BUF,34,0.5,0,36,
Valeri Nichushkin,F,3,,UFA,CBJ,32,1.1,0,53,
Jacob Markstrom,G,3,,UFA,FLA,37,3.3,0,71,
Quinton Byfield,F,C,MINOR,LGN,LAK,25,1.5,0,63,
Claude Giroux,F,3,,UFA,OTT,39,0.5,0,46,
Tyler Toffoli,F,3,,UFA,SJS,35,0.8,0,49,
Chandler Stephenson,F,3,,UFA,SEA,33,0.5,0,51,
Filip Hronek,D,3,,UFA,VAN,29,2.0,0,48,
Elias Lindholm,F,3,,UFA,BOS,32,3.2,0,46,
Taylor Hall,F,3,,UFA,CAR,35,0.9,0,44,
Artturi Lehkonen,F,3,,UFA,COL,32,0.9,0,46,
Jesper Wallstedt,G,B,MINOR,SRL,MIN,24,0.6,0,74,
Rickard Rakell,F,3,,UFA,PIT,34,0.7,0,56,
Pavel Buchnevich,F,3,START,JHN,STL,32,2.4,0,50,
Brock Boeser,F,3,,UFA,VAN,30,3.2,0,57,
JJ Peterka,F,C,MINOR,VPP,BOS,25,1.4,0,63,
Ukko-Pekka Luukkonen,G,RFA2,,RFA,BUF,28,2.4,0,55,GVR
Spencer Knight,G,RFA1,,RFA,CHI,26,0.5,0,55,GVR
Darcy Kuemper,G,3,,UFA,LAK,37,3.7,0,59,
Noah Dobson,D,2,START,BOT,MTL,27,2.0,0,47,
Noah Cates,F,3,,UFA,PHI,28,0.5,0,39,
Rasmus Andersson,D,3,,UFA,VGK,30,1.0,0,43,
Shane Pinto,F,3,START,LGN,OTT,26,0.6,0,46,
Collin Graf,F,3,START,JHN,SJS,24,0.6,0,38,
Bobby McMann,F,3,,UFA,SEA,31,0.5,0,49,
Joey Daccord,G,3,,UFA,SEA,31,0.9,0,44,
Connor McMichael,F,RFA1,,RFA,STL,26,1.2,0,58,SHF
Jordan Kyrou,F,2,START,HSM,WSH,29,4.0,0,62,
Connor Hellebuyck,G,3,,UFA,WPG,34,8.4,0,91,
Jason Zucker,F,3,START,GVR,BUF,35,0.5,0,44,
Matt Coronato,F,B,MINOR,LPT,CGY,24,0.6,0,57,
Matt Duchene,F,3,,UFA,DAL,36,2.9,0,64,
Mason Marchment,F,3,,UFA,SJS,32,0.8,0,47,
Ryan Leonard,F,A,MINOR,MAC,WSH,22,0.8,0,57,
Logan Stankoven,F,C,MINOR,SRL,CAR,24,0.6,0,54,
Roope Hintz,F,3,,UFA,DAL,30,4.0,0,59,
Anton Lundell,F,C,MINOR,GVR,FLA,25,0.8,0,52,
Alex Laferriere,F,3,,UFA,LAK,25,0.6,0,45,
Timo Meier,F,3,,UFA,NJD,30,3.2,0,50,
Arturs Silovs,G,D,MINOR,LPT,PIT,26,0.6,0,54,
Vince Dunn,D,3,START,ZSK,SEA,30,2.1,0,46,
Lawson Crouse,F,3,,UFA,UTA,30,0.5,0,40,
Zach Benson,F,A,MINOR,JHN,BUF,22,0.7,0,54,
Mikael Backlund,F,3,,UFA,CGY,38,0.5,0,36,
Morgan Frost,F,3,,UFA,CGY,28,0.6,0,48,
Andrew Copp,F,3,,UFA,DET,33,1.4,0,33,
Ryan Hartman,F,3,,UFA,MIN,32,0.7,0,36,
Connor Brown,F,3,,UFA,NJD,33,0.8,0,38,
Logan Cooley,F,C,MINOR,LGN,UTA,23,2.5,0,68,
Casey Mittelstadt,F,2,START,VPP,BOS,28,1.9,0,42,
Bowen Byram,D,2,START,GVR,CHI,26,0.9,0,53,
Tristan Jarry,G,3,,UFA,EDM,32,0.5,0,22,
Dawson Mercer,F,RFA1,,RFA,NJD,25,0.5,0,41,SRL
Egor Chinakhov,F,RFA1,,RFA,PIT,26,0.5,0,51,SRL
Tommy Novak,F,3,,UFA,PIT,30,0.7,0,37,
Yaroslav Askarov,G,C,MINOR,GVR,SJS,25,0.8,0,54,
Anders Lee,F,3,,UFA,UTA,37,0.5,0,39,
Jake DeBrusk,F,3,,UFA,VAN,30,0.9,0,45,
Mikael Granlund,F,3,,UFA,ANA,35,1.1,0,52,
Mattias Samuelsson,D,3,,UFA,BUF,27,0.6,0,34,
Frank Nazar,F,B,MINOR,BOT,CHI,23,0.5,0,47,
Mattias Ekholm,D,3,,UFA,EDM,37,1.0,0,33,
Anton Forsberg,G,3,,UFA,LAK,34,0.0,0,37,
Mavrik Bourque,F,C,MINOR,VPP,NSH,25,0.5,0,47,
Simon Holmstrom,F,3,,UFA,NYI,26,0.0,0,41,
Mason McTavish,F,B,MINOR,LPT,STL,24,0.5,0,53,
Sam Malinski,D,3,,UFA,COL,29,0.7,0,37,
Justin Faulk,D,3,,UFA,DET,35,0.7,0,31,
Kevin Fiala,F,3,,UFA,LAK,31,3.1,0,59,
Brandt Clarke,D,B,MINOR,LGN,LAK,24,0.8,0,48,
Kaapo Kakko,F,RFA1,,RFA,SEA,26,0.9,0,53,GVR
Jared McCann,F,3,,UFA,SEA,31,1.3,0,61,
Peyton Krebs,F,3,,UFA,BUF,26,0.5,0,44,
Matias Maccelli,F,3,,UFA,NYI,26,0.5,0,42,
Brayden Schenn,F,3,,UFA,NYI,36,0.6,0,41,
Oliver Ekman-Larsson,D,3,,UFA,TOR,36,0.6,0,32,
Shea Theodore,D,3,,UFA,VGK,32,3.2,0,61,
Joel Farabee,F,3,,UFA,CGY,27,0.5,0,41,
Akira Schmid,G,3,START,JHN,FLA,27,0.6,0,33,
Erik Haula,F,3,,UFA,LAK,36,0.6,0,34,
Dougie Hamilton,D,3,,UFA,NJD,34,2.0,0,40,
Will Cuylle,F,3,,UFA,NYR,25,0.6,0,41,
Boone Jenner,F,3,,UFA,WSH,34,0.5,0,31,
Vasily Podkolzin,F,RFA1,,RFA,EDM,26,0.5,0,42,BOT
Matt Savoie,F,A,MINOR,VPP,EDM,23,0.8,0,45,
Corey Perry,F,3,,UFA,LAK,42,0.6,0,29,
Oliver Kapanen,F,3,,UFA,MTL,24,0.0,0,36,
Mike Matheson,D,3,,UFA,MTL,33,0.8,0,34,
Jake Allen,G,3,,UFA,NJD,37,0.6,0,37,
Travis Sanheim,D,3,,UFA,PHI,31,1.0,0,34,
Dmitry Orlov,D,3,,UFA,SJS,36,0.5,0,31,
Ryan Poehling,F,3,,UFA,ANA,28,0.5,0,32,
Jordan Staal,F,3,,UFA,CAR,39,0.7,0,30,
Sean Monahan,F,3,,UFA,CBJ,32,1.2,0,44,
Jamie Benn,F,3,,UFA,DAL,38,0.8,0,36,
Thomas Harley,D,RFA1,,RFA,DAL,26,1.4,0,42,MAC
Sean Couturier,F,3,,UFA,PHI,34,0.5,0,31,
Joseph Woll,G,3,,UFA,PHI,29,1.2,0,31,
Kiefer Sherwood,F,3,,UFA,SJS,32,0.6,0,37,
Alex Nedeljkovic,G,3,,UFA,SJS,31,0.0,0,37,
Jake Neighbours,F,C,MINOR,LPT,STL,25,0.6,0,43,
Ilya Mikheyev,F,3,,UFA,TBL,32,0.9,0,38,
Jack Roslovic,F,3,,UFA,TOR,30,1.4,0,41,
Morgan Rielly,D,3,,UFA,TOR,33,3.2,0,28,
Max Domi,F,3,,UFA,TOR,32,0.6,0,14,
John Marino,D,3,,UFA,UTA,30,0.5,0,30,
Eeli Tolvanen,F,3,,UFA,NYR,28,0.9,0,43,
Fraser Minten,F,3,,UFA,BOS,23,0.0,0,37,
Teuvo Teravainen,F,3,START,MAC,CHI,33,0.5,0,47,
Parker Kelly,F,3,,UFA,COL,28,0.0,0,25,
Gabriel Landeskog,F,3,,UFA,COL,34,1.5,0,42,
Brent Burns,D,3,,UFA,COL,42,0.9,0,29,
Ryan Shea,D,3,,UFA,EDM,30,0.0,0,24,
Blake Coleman,F,3,,UFA,MIN,35,0.6,0,35,
Luke Hughes,D,B,MINOR,VPP,NJD,24,0.6,0,47,
Jean-Gabriel Pageau,F,3,,UFA,NYI,34,0.5,0,32,
Tony DeAngelo,D,3,START,SHF,NYI,31,1.0,0,35,
Vladislav Gavrikov,D,3,,UFA,NYR,31,0.5,0,31,
Michael Amadio,F,3,,UFA,OTT,31,0.0,0,33,
Ridly Greig,F,3,,UFA,OTT,25,0.0,0,39,
Ben Kindel,F,3,START,SHF,PIT,20,0.5,0,41,
Jacob Trouba,D,3,,UFA,SJS,33,1.0,0,24,
Linus Karlsson,F,3,,UFA,VAN,27,0.0,0,37,
Marco Rossi,F,C,MINOR,GVR,VAN,25,1.8,0,61,
Justin Sourdif,F,3,,UFA,WSH,25,0.0,0,37,
Josh Norris,F,3,,UFA,BUF,28,0.5,0,39,
Matthew Tkachuk,F,3,,UFA,FLA,29,5.0,0,81,
David Rittich,G,3,,UFA,NJD,35,0.8,0,14,
Justin Brazeau,F,3,,UFA,PIT,29,0.0,0,22,
Kris Letang,D,3,,UFA,PIT,40,0.9,0,31,
Philip Broberg,D,3,START,JHN,STL,26,1.2,0,35,
Alex Killorn,F,3,,UFA,ANA,38,0.6,0,30,
Marat Khusnutdinov,F,3,,UFA,BOS,25,0.0,0,30,
Alexander Nikishin,D,C,MINOR,SRL,CAR,25,0.6,0,37,
